@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute outputs-1 {0,1,2,3}

@data
27,'2023/10/24 14:24:01:704',1,0.408863,904.394531,0.094863,1808.789063,0.038669,279.931641,0.037151,473.730469,0.032689,861.328125,0.027927,258.398438,0.027722,301.464844,0.02631,1787.255859,0.025641,1270.458984,0.02489,322.998047,0.024157,?
28,'2023/10/24 14:24:01:773',1,0.401947,882.861328,0.136214,344.53125,0.126864,904.394531,0.110036,968.994141,0.092679,947.460938,0.082475,258.398438,0.077585,990.527344,0.071946,366.064453,0.067377,430.664063,0.064659,861.328125,0.06431,?
29,'2023/10/24 14:24:01:790',1,0.401947,882.861328,0.136214,344.53125,0.126864,904.394531,0.110036,968.994141,0.092679,947.460938,0.082475,258.398438,0.077585,990.527344,0.071946,366.064453,0.067377,430.664063,0.064659,861.328125,0.06431,?
30,'2023/10/24 14:24:01:804',1,0.401947,882.861328,0.136214,344.53125,0.126864,904.394531,0.110036,968.994141,0.092679,947.460938,0.082475,258.398438,0.077585,990.527344,0.071946,366.064453,0.067377,430.664063,0.064659,861.328125,0.06431,?
31,'2023/10/24 14:24:01:854',1,0.455972,1270.458984,0.127061,882.861328,0.085718,1291.992188,0.077604,1313.525391,0.067102,818.261719,0.064175,839.794922,0.058447,904.394531,0.056208,366.064453,0.054312,279.931641,0.0515,344.53125,0.049658,?
32,'2023/10/24 14:24:04:239',1,0.44497,344.53125,0.147292,258.398438,0.119885,322.998047,0.116385,366.064453,0.102889,236.865234,0.082251,279.931641,0.076256,409.130859,0.067017,387.597656,0.059573,430.664063,0.053901,193.798828,0.04867,?
33,'2023/10/24 14:24:04:254',1,0.44497,344.53125,0.147292,258.398438,0.119885,322.998047,0.116385,366.064453,0.102889,236.865234,0.082251,279.931641,0.076256,409.130859,0.067017,387.597656,0.059573,430.664063,0.053901,193.798828,0.04867,?
34,'2023/10/24 14:24:04:405',1,0.46651,366.064453,0.096539,387.597656,0.090781,344.53125,0.089516,409.130859,0.075967,322.998047,0.075317,430.664063,0.056255,301.464844,0.054843,236.865234,0.053638,215.332031,0.053356,279.931641,0.044224,?
35,'2023/10/24 14:24:04:422',1,0.46651,366.064453,0.096539,387.597656,0.090781,344.53125,0.089516,409.130859,0.075967,322.998047,0.075317,430.664063,0.056255,301.464844,0.054843,236.865234,0.053638,215.332031,0.053356,279.931641,0.044224,?
36,'2023/10/24 14:24:04:438',1,0.400311,258.398438,0.231153,344.53125,0.184828,366.064453,0.098419,990.527344,0.088875,279.931641,0.083901,430.664063,0.083893,495.263672,0.077662,968.994141,0.075809,387.597656,0.069219,1335.058594,0.066009,?
37,'2023/10/24 14:24:10:376',1,0.483994,409.130859,0.059939,366.064453,0.05685,387.597656,0.055796,452.197266,0.054645,430.664063,0.050946,473.730469,0.05084,495.263672,0.049383,322.998047,0.04937,301.464844,0.045186,344.53125,0.04308,?
