@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
37,'2023/10/22 16:28:00:196',2,0.420553,602.929688,0.081148,581.396484,0.066715,473.730469,0.051673,624.462891,0.04946,495.263672,0.041959,?,?,?
38,'2023/10/22 16:28:00:220',2,0.340469,602.929688,0.045077,581.396484,0.029815,624.462891,0.029372,473.730469,0.027774,452.197266,0.02154,?,?,?
39,'2023/10/22 16:28:00:227',2,0.340469,602.929688,0.045077,581.396484,0.029815,624.462891,0.029372,473.730469,0.027774,452.197266,0.02154,?,?,?
40,'2023/10/22 16:28:00:242',2,0.298734,172.265625,0.017046,624.462891,0.0049,150.732422,0.004528,581.396484,0.004427,602.929688,0.004309,?,?,?
41,'2023/10/22 16:28:00:259',2,0.259492,172.265625,0.0138,150.732422,0.003899,279.931641,0.003197,0,0.002131,0,0.002131,?,?,?
42,'2023/10/22 16:28:00:275',2,0.259492,172.265625,0.0138,150.732422,0.003899,279.931641,0.003197,0,0.002131,0,0.002131,?,?,?
43,'2023/10/22 16:28:00:311',2,0.498133,172.265625,0.019177,21.533203,0.019147,193.798828,0.018977,258.398438,0.018717,215.332031,0.018351,?,?,?
44,'2023/10/22 16:28:00:328',2,0.437071,602.929688,0.084838,581.396484,0.06945,624.462891,0.064697,559.863281,0.042365,387.597656,0.040416,?,?,?
45,'2023/10/22 16:28:00:345',2,0.437071,602.929688,0.084838,581.396484,0.06945,624.462891,0.064697,559.863281,0.042365,387.597656,0.040416,?,?,?
46,'2023/10/22 16:28:00:363',2,0.391288,602.929688,0.090403,581.396484,0.066718,624.462891,0.05906,172.265625,0.048137,559.863281,0.04327,?,?,?
47,'2023/10/22 16:28:00:377',2,0.316777,172.265625,0.026667,150.732422,0.010096,624.462891,0.007381,193.798828,0.006221,279.931641,0.006143,?,?,?
48,'2023/10/22 16:28:00:395',2,0.316777,172.265625,0.026667,150.732422,0.010096,624.462891,0.007381,193.798828,0.006221,279.931641,0.006143,?,?,?
49,'2023/10/22 16:28:00:410',2,0.266985,172.265625,0.014997,0,0.00557,0,0.00557,0,0.00557,0,0.00557,?,?,?
50,'2023/10/22 16:28:00:427',2,0.495166,366.064453,0.015342,452.197266,0.014412,430.664063,0.014124,473.730469,0.014111,559.863281,0.014057,?,?,?
51,'2023/10/22 16:28:00:445',2,0.400875,409.130859,0.033291,387.597656,0.028507,430.664063,0.025263,1399.658203,0.023457,452.197266,0.023258,?,?,?
52,'2023/10/22 16:28:00:461',2,0.400875,409.130859,0.033291,387.597656,0.028507,430.664063,0.025263,1399.658203,0.023457,452.197266,0.023258,?,?,?
53,'2023/10/22 16:28:00:485',2,0.344729,172.265625,0.011384,409.130859,0.008425,366.064453,0.00814,344.53125,0.007445,301.464844,0.00645,?,?,?
54,'2023/10/22 16:28:00:492',2,0.302472,172.265625,0.009467,301.464844,0.003082,279.931641,0.002893,387.597656,0.00242,409.130859,0.002153,?,?,?
55,'2023/10/22 16:28:00:510',2,0.302472,172.265625,0.009467,301.464844,0.003082,279.931641,0.002893,387.597656,0.00242,409.130859,0.002153,?,?,?
56,'2023/10/22 16:28:01:286',2,0.409953,602.929688,0.107908,581.396484,0.081361,624.462891,0.081143,559.863281,0.053288,538.330078,0.046738,?,?,?
57,'2023/10/22 16:28:01:303',2,0.409953,602.929688,0.107908,581.396484,0.081361,624.462891,0.081143,559.863281,0.053288,538.330078,0.046738,?,?,?
58,'2023/10/22 16:28:01:319',2,0.331888,602.929688,0.04875,624.462891,0.039492,581.396484,0.033267,645.996094,0.021216,559.863281,0.019531,?,?,?
59,'2023/10/22 16:28:01:340',2,0.271405,172.265625,0.010212,344.53125,0.004777,279.931641,0.003641,150.732422,0.002593,301.464844,0.002217,?,?,?
60,'2023/10/22 16:28:01:350',2,0.271405,172.265625,0.010212,344.53125,0.004777,279.931641,0.003641,150.732422,0.002593,301.464844,0.002217,?,?,?
61,'2023/10/22 16:28:01:384',2,0.386384,559.863281,0.031418,602.929688,0.030822,516.796875,0.03064,495.263672,0.030038,581.396484,0.029049,?,?,?
62,'2023/10/22 16:28:01:404',2,0.374898,559.863281,0.053159,602.929688,0.051368,581.396484,0.051069,538.330078,0.048941,516.796875,0.04784,?,?,?
63,'2023/10/22 16:28:01:419',2,0.319165,581.396484,0.076878,602.929688,0.071041,559.863281,0.057147,538.330078,0.043755,516.796875,0.042173,?,?,?
64,'2023/10/22 16:28:01:432',2,0.274463,172.265625,0.031511,602.929688,0.027773,581.396484,0.027219,624.462891,0.020236,559.863281,0.016309,?,?,?
65,'2023/10/22 16:28:01:451',2,0.261,172.265625,0.03013,581.396484,0.019451,602.929688,0.016779,344.53125,0.01402,624.462891,0.0129,?,?,?
66,'2023/10/22 16:28:01:505',2,0.383,602.929688,0.064104,581.396484,0.055809,624.462891,0.055059,559.863281,0.03482,645.996094,0.033878,?,?,?
67,'2023/10/22 16:28:01:519',2,0.313203,602.929688,0.067568,581.396484,0.055145,624.462891,0.050454,172.265625,0.04965,645.996094,0.037727,?,?,?
68,'2023/10/22 16:28:01:543',2,0.286093,172.265625,0.030278,279.931641,0.011362,624.462891,0.009578,581.396484,0.008905,602.929688,0.008437,?,?,?
69,'2023/10/22 16:28:01:551',2,0.286093,172.265625,0.030278,279.931641,0.011362,624.462891,0.009578,581.396484,0.008905,602.929688,0.008437,?,?,?
70,'2023/10/22 16:28:01:602',2,0.327636,172.265625,0.071187,322.998047,0.039742,344.53125,0.034913,301.464844,0.033537,279.931641,0.028081,?,?,?
71,'2023/10/22 16:28:01:618',2,0.267928,172.265625,0.080256,301.464844,0.04927,279.931641,0.043392,344.53125,0.042449,215.332031,0.035317,?,?,?
72,'2023/10/22 16:28:16:265',3,0.456018,1528.857422,0.019919,1550.390625,0.01872,1507.324219,0.017416,1571.923828,0.013869,1701.123047,0.010916,?,?,?
73,'2023/10/22 16:28:16:285',3,0.396115,1528.857422,0.023424,1550.390625,0.017689,1507.324219,0.015195,1571.923828,0.012996,2325.585938,0.011966,?,?,?
74,'2023/10/22 16:28:16:298',3,0.396115,1528.857422,0.023424,1550.390625,0.017689,1507.324219,0.015195,1571.923828,0.012996,2325.585938,0.011966,?,?,?
75,'2023/10/22 16:28:16:315',3,0.39215,1528.857422,0.023738,1550.390625,0.017513,1507.324219,0.014983,1571.923828,0.012789,2325.585938,0.012324,?,?,?
76,'2023/10/22 16:28:16:329',3,0.314298,2153.320313,0.007533,0,0.005666,0,0.005666,0,0.005666,0,0.005666,?,?,?
77,'2023/10/22 16:28:16:346',3,0.251901,1507.324219,0.007233,1528.857422,0.006254,1550.390625,0.006013,473.730469,0.004679,2325.585938,0.004404,?,?,?
78,'2023/10/22 16:28:16:363',3,0.251901,1507.324219,0.007233,1528.857422,0.006254,1550.390625,0.006013,473.730469,0.004679,2325.585938,0.004404,?,?,?
79,'2023/10/22 16:28:17:215',3,0.410171,2325.585938,0.049643,2304.052734,0.038945,1528.857422,0.036681,2347.119141,0.034042,1550.390625,0.032058,?,?,?
80,'2023/10/22 16:28:17:232',3,0.382282,2325.585938,0.05689,1528.857422,0.040559,2304.052734,0.034409,1550.390625,0.030757,473.730469,0.030263,?,?,?
81,'2023/10/22 16:28:17:248',3,0.382282,2325.585938,0.05689,1528.857422,0.040559,2304.052734,0.034409,1550.390625,0.030757,473.730469,0.030263,?,?,?
82,'2023/10/22 16:28:17:262',3,0.309486,2325.585938,0.021292,1528.857422,0.019307,473.730469,0.014486,2153.320313,0.011901,2304.052734,0.011345,?,?,?
83,'2023/10/22 16:28:17:280',3,0.296596,2325.585938,0.03354,1528.857422,0.031108,473.730469,0.02973,1550.390625,0.027077,1507.324219,0.021572,?,?,?
84,'2023/10/22 16:28:17:297',3,0.296596,2325.585938,0.03354,1528.857422,0.031108,473.730469,0.02973,1550.390625,0.027077,1507.324219,0.021572,?,?,?
85,'2023/10/22 16:28:17:315',3,0.257635,2325.585938,0.040893,1507.324219,0.033959,1528.857422,0.03198,473.730469,0.024633,2347.119141,0.023932,?,?,?
